Campaign_ID,Target_Audience,Campaign_Goal,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,Company
529013,Men 35-44,Product Launch,15 Days,Instagram,0.15,$500.00,5.79,Las Vegas,Spanish,500,3000,7,Health,25/02/2022,Aura Align
275352,Women 45-60,Market Expansion,15 Days,Facebook,0.01,$500.00,7.21,Los Angeles,French,500,3000,5,Home,12/05/2022,Hearth Harmony
692322,Men 45-60,Product Launch,15 Days,Instagram,0.08,$500.00,0.43,Austin,Spanish,500,3000,9,Technology,19/06/2022,Cyber Circuit
675757,Men 25-34,Increase Sales,15 Days,Pinterest,0.03,$500.00,0.909823572,Miami,Spanish,293,1937,1,Health,08/09/2022,Well Wish
535900,Men 45-60,Market Expansion,15 Days,Pinterest,0.13,$500.00,1.422828219,Austin,French,293,1937,1,Home,24/08/2022,Hearth Harmony
323031,Women 35-44,Product Launch,15 Days,Facebook,0.02,$500.00,6.9,Austin,Spanish,500,3001,10,Technology,15/01/2022,Cyber Circuit
727501,All Ages,Increase Sales,15 Days,Pinterest,0.1,$500.00,0.679239602,Los Angeles,French,293,1938,1,Home,30/10/2022,Space Spruce
289553,Men 25-34,Product Launch,15 Days,Pinterest,0.1,$500.00,1.00992204,Miami,English,293,1938,1,Food,23/07/2022,Feast Flavors
942511,Men 35-44,Market Expansion,15 Days,Twitter,0.14,$500.00,1.19,Los Angeles,French,501,3003,8,Food,14/08/2022,Culinary Quest
255854,Women 45-60,Increase Sales,15 Days,Facebook,0.04,$500.00,1.65,Miami,English,501,3003,9,Food,23/03/2022,Gourmet Grove
204863,Men 45-60,Market Expansion,15 Days,Instagram,0.08,$500.00,2.81,Las Vegas,English,501,3003,8,Technology,24/08/2022,Silicon Saga
147351,Women 25-34,Increase Sales,15 Days,Twitter,0.05,$500.00,5.02,Austin,Spanish,501,3004,8,Fashion,25/09/2022,Mode Maven
320183,All Ages,Product Launch,15 Days,Pinterest,0.04,$500.00,0.12869803,Miami,Spanish,294,1939,1,Home,05/03/2022,Homely Haven
998847,Men 18-24,Increase Sales,15 Days,Instagram,0.09,$500.00,0.94,Las Vegas,Spanish,501,3005,8,Technology,11/06/2022,Cyber Circuit
174406,Women 25-34,Product Launch,15 Days,Facebook,0.13,$500.00,0.89,Austin,English,501,3005,6,Health,26/12/2022,Aura Align
584909,Women 25-34,Increase Sales,15 Days,Instagram,0.06,$500.00,7.32,New York,Spanish,501,3005,4,Food,21/04/2022,Gourmet Grove
414326,Women 18-24,Market Expansion,15 Days,Twitter,0.03,$500.00,4.08,Los Angeles,English,502,3006,10,Health,08/01/2022,Aura Align
854283,Men 25-34,Market Expansion,15 Days,Facebook,0.05,$500.00,2.16,Miami,French,502,3006,8,Technology,20/08/2022,Gadget Giants
372311,Men 18-24,Product Launch,15 Days,Twitter,0.02,$500.00,6.82,New York,French,502,3007,9,Home,23/04/2022,Domestic Dream
687141,Men 25-34,Brand Awareness,15 Days,Twitter,0.04,$500.00,5.26,Miami,French,502,3007,10,Health,29/08/2022,Heal Hub
706867,Women 25-34,Product Launch,15 Days,Instagram,0.02,$500.00,0.08,Los Angeles,French,502,3007,4,Home,22/11/2022,Dwell Delight
515930,Women 35-44,Market Expansion,15 Days,Twitter,0.07,$500.00,3.67,Austin,English,502,3008,2,Fashion,05/01/2022,Trend Tailors
605950,Men 25-34,Product Launch,15 Days,Twitter,0.03,$500.00,4.55,New York,Spanish,502,3008,2,Health,30/05/2022,Well Wish
550372,Women 18-24,Increase Sales,15 Days,Instagram,0.03,$500.00,6.48,Los Angeles,French,503,3008,7,Food,16/03/2022,Gastronomy Guild
622059,Men 35-44,Product Launch,15 Days,Twitter,0.04,$500.00,6.42,Las Vegas,French,503,3009,10,Food,04/05/2022,Nosh Nirvana
975243,Men 45-60,Product Launch,15 Days,Facebook,0.03,$500.00,4,Miami,French,503,3009,5,Health,07/08/2022,Vigor Valley
592659,All Ages,Product Launch,15 Days,Facebook,0.12,$500.00,6.72,Miami,English,503,3010,2,Health,13/11/2022,Balance Beam
484424,Women 45-60,Market Expansion,15 Days,Instagram,0.03,$500.00,3.28,Las Vegas,French,503,3010,2,Fashion,24/04/2022,Style Sphere
